Question,Answer
What was TCS's sales turnover in 2025?,TCS's sales turnover in 2025 was Rs 21485300 crores.
What was TCS's sales turnover in 2024?,TCS's sales turnover in 2024 was Rs 20235900 crores.
What was TCS's total income in 2025?,TCS's total income in 2025 was Rs 22436000 crores.
What was TCS's total income in 2024?,TCS's total income in 2024 was Rs 20862700 crores.
How much was TCS's other income in 2025?,TCS's other income in 2025 was Rs 950700 crores.
How much was TCS's other income in 2024?,TCS's other income in 2024 was Rs 626800 crores.
What was TCS's reported net profit in 2025?,TCS's reported net profit in 2025 was Rs 4805700 crores.
What was TCS's reported net profit in 2024?,TCS's reported net profit in 2024 was Rs 4355900 crores.
What was TCS's operating profit in 2025?,TCS's operating profit in 2025 was Rs 5792900 crores.
What was TCS's operating profit in 2024?,TCS's operating profit in 2024 was Rs 5584700 crores.
What was TCS's profit before tax in 2025?,TCS's profit before tax in 2025 was Rs 6251300 crores.
What was TCS's profit before tax in 2024?,TCS's profit before tax in 2024 was Rs 5755500 crores.
What was TCS's employee cost in 2025?,TCS's employee cost in 2025 was Rs 10730000 crores.
What was TCS's employee cost in 2024?,TCS's employee cost in 2024 was Rs 10313900 crores.
What were TCS's total expenses in 2025?,TCS's total expenses in 2025 were Rs 15692400 crores.
What were TCS's total expenses in 2024?,TCS's total expenses in 2024 were Rs 14651200 crores.
What was TCS's earnings per share in 2025?,TCS's earnings per share in 2025 was Rs 13282.
What was TCS's earnings per share in 2024?,TCS's earnings per share in 2024 was Rs 12039.
What was TCS's book value per share in 2025?,TCS's book value per share in 2025 was Rs 20900.
What was TCS's book value per share in 2024?,TCS's book value per share in 2024 was Rs 19933.
What was TCS's equity dividend percentage in 2025?,TCS's equity dividend percentage in 2025 was 1260000%.
What was TCS's equity dividend percentage in 2024?,TCS's equity dividend percentage in 2024 was 730000%.
What was TCS's networth in 2025?,TCS's networth in 2025 was Rs 7561700 crores.
What was TCS's networth in 2024?,TCS's networth in 2024 was Rs 7212000 crores.
What were TCS's reserves in 2025?,TCS's reserves in 2025 were Rs 7525500 crores.
What were TCS's reserves in 2024?,TCS's reserves in 2024 were Rs 7175800 crores.
What was TCS's cash and bank balance in 2025?,TCS's cash and bank balance in 2025 was Rs 715200 crores.
What was TCS's cash and bank balance in 2024?,TCS's cash and bank balance in 2024 was Rs 659900 crores.
What were TCS's sundry debtors in 2025?,TCS's sundry debtors in 2025 were Rs 5176700 crores.
What were TCS's sundry debtors in 2024?,TCS's sundry debtors in 2024 were Rs 4606800 crores.
What was TCS's net cash from operating activities in 2025?,TCS's net cash from operating activities in 2025 was Rs 4081600 crores.
What was TCS's net cash from operating activities in 2024?,TCS's net cash from operating activities in 2024 was Rs 3914200 crores.
What was TCS's closing cash and cash equivalents in 2025?,TCS's closing cash and cash equivalents in 2025 was Rs 261000 crores.
What was TCS's closing cash and cash equivalents in 2024?,TCS's closing cash and cash equivalents in 2024 was Rs 364400 crores.
By how much did TCS's sales turnover grow from 2024 to 2025?,TCS's sales turnover grew by Rs 1249400 crores from 2024 to 2025.
What was the growth in TCS's net profit from 2024 to 2025?,TCS's net profit grew by Rs 449800 crores from 2024 to 2025.
How much did TCS's employee cost increase from 2024 to 2025?,TCS's employee cost increased by Rs 416100 crores from 2024 to 2025.
What was the change in TCS's book value from 2024 to 2025?,TCS's book value increased by Rs 967 from 2024 to 2025.
How did TCS's equity dividend change from 2024 to 2025?,TCS's equity dividend increased from Rs 2513700 crores in 2024 to Rs 4486400 crores in 2025.
What was the change in TCS's total income from 2024 to 2025?,TCS's total income increased by Rs 1573300 crores from 2024 to 2025.
What was TCS's PBDIT in 2025?,TCS's PBDIT in 2025 was Rs 6743600 crores.
What was TCS's PBDIT in 2024?,TCS's PBDIT in 2024 was Rs 6211500 crores.
What were TCS's miscellaneous expenses in 2025?,TCS's miscellaneous expenses in 2025 were Rs 3825200 crores.
What were TCS's miscellaneous expenses in 2024?,TCS's miscellaneous expenses in 2024 were Rs 4002600 crores.
What was TCS's depreciation in 2025?,TCS's depreciation in 2025 was Rs 422000 crores.
What was TCS's depreciation in 2024?,TCS's depreciation in 2024 was Rs 388700 crores.
What was TCS's tax expense in 2025?,TCS's tax expense in 2025 was Rs 1459100 crores.
What was TCS's tax expense in 2024?,TCS's tax expense in 2024 was Rs 1404300 crores.
What was TCS's total share capital in 2025?,TCS's total share capital in 2025 was Rs 36200 crores.
What was TCS's total share capital in 2024?,TCS's total share capital in 2024 was Rs 36200 crores.
What were TCS's investments in 2025?,TCS's investments in 2025 were Rs 3280200 crores.
What were TCS's investments in 2024?,TCS's investments in 2024 were Rs 3224500 crores.
What were TCS's total current assets in 2025?,TCS's total current assets in 2025 were Rs 5893900 crores.
What were TCS's total current assets in 2024?,TCS's total current assets in 2024 were Rs 5269400 crores.
What was TCS's gross block in 2025?,TCS's gross block in 2025 was Rs 3908300 crores.
What was TCS's gross block in 2024?,TCS's gross block in 2024 was Rs 3567900 crores.
What was TCS's net block in 2025?,TCS's net block in 2025 was Rs 1682500 crores.
What was TCS's net block in 2024?,TCS's net block in 2024 was Rs 1495300 crores.
What was the percentage growth in TCS's net profit from 2024 to 2025?,TCS's net profit grew by approximately 103% from 2024 to 2025.
What was the change in TCS's other income from 2024 to 2025?,TCS's other income increased by Rs 323900 crores from 2024 to 2025.
How many shares were in issue for TCS in 2025?,TCS had 3618088 lakh shares in issue in 2025.
What was TCS's equity dividend amount in 2025?,TCS's equity dividend amount in 2025 was Rs 4486400 crores.
What was TCS's equity dividend amount in 2024?,TCS's equity dividend amount in 2024 was Rs 2513700 crores.
What was TCS revenue growth rate from 2024 to 2025?,TCS revenue grew by approximately 62% from 2024 to 2025.
What is TCS's profit margin in 2025?,TCS's profit margin in 2025 was approximately 224% based on net profit to sales ratio.
How much cash does TCS have?,TCS had Rs 715200 crores in cash and bank balance in 2025.
What is TCS's market performance?,TCS showed strong performance with 103% growth in net profit and 62% growth in revenue from 2024 to 2025.
What are TCS's main expenses?,TCS's main expenses include employee costs of Rs 10730000 crores and miscellaneous expenses of Rs 3825200 crores in 2025.
